stream/course,Web Development,Mobile App development,Cyber security,Software Engineering,Machine learning,Data Science,Cloud,Game Development,Civil Engineering,Electrical Enginering,Mechanical Engineering,Aerospace & Aeronautical,Automobile Engineering,Petroleum Engineering,Mining,Management,Architecture
JavaScript,459,0,17,16,0,0,0,50,0,0,0,0,0,0,0,1,1
HTML/CSS,347,0,0,10,0,0,68,23,0,0,0,0,0,0,0,1,1
Python,23,22,34,41,54,46,132,9,0,11,18,1,1,0,0,0,1
C,0,3,0,20,0,24,0,119,0,15,0,0,1,0,0,1,1
C++,0,3,0,57,0,18,0,138,0,16,11,0,0,0,0,0,1
Java,0,13,17,90,0,35,123,0,0,8,4,0,1,0,0,1,1
CAD,0,0,0,0,0,0,0,0,21,0,50,0,14,0,0,0,1
Cryptography,0,0,107,0,0,0,71,0,0,0,0,0,0,0,0,1,0
Networking,17,3,80,103,10,11,126,20,0,0,0,0,0,0,0,0,0
Databases,35,4,50,208,5,28,135,18,0,23,0,0,0,0,0,1,0
Operating Systems,0,8,170,56,0,0,25,9,0,0,0,0,0,0,0,1,1
Swift,24,49,0,29,0,0,0,2,0,0,0,0,0,0,0,0,1
Neural Networks,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1
Probability&Statistics,10,0,0,5,95,137,0,0,0,0,0,0,0,0,1,1,0
Aerodynamics/Vehicle Dynamics,0,0,0,0,0,0,0,0,0,0,3,1,15,0,0,1,1
MatLab,0,5,0,19,49,15,0,0,0,0,5,1,0,0,0,1,0
Engineering Design,0,0,0,0,0,0,0,22,58,98,103,1,22,0,1,0,1
UI/UX Design,32,31,0,33,0,0,0,5,0,0,0,0,0,0,0,0,0
Calculus,0,0,15,0,49,61,0,0,0,0,0,0,0,0,0,0,0
Data Structures & Algorithms,7,10,112,13,26,17,20,0,0,0,0,0,0,0,0,0,0
Kotlin,0,40,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Machinery/Equipment,0,0,0,0,0,0,0,0,6,10,17,1,1,1,1,0,0
Robotics,0,0,20,0,38,0,0,4,0,0,14,0,4,0,0,0,1
Vehicle Design,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1
Microprocessor,0,0,0,25,0,0,0,0,0,27,0,0,3,0,0,1,0
Circuit Designing (AC & DC),0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,1
Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Digital Signal Processing,17,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0
Thermodynamics,0,0,0,0,0,0,0,0,2,0,5,0,2,1,0,1,1
Chemical Kinetics,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Soil/Mineral Analysis,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,1
C#,0,0,0,69,0,0,0,76,0,0,0,0,0,0,0,0,1
Physics,1,1,1,1,1,1,1,16,0,5,9,1,5,0,1,1,0
Computer Architecture,1,1,1,1,1,1,1,1,0,6,0,0,0,0,0,0,1
Ltspice,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Environmental studies,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Drilling & Blasting,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Propulsion Theory,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Marketing,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
Finance/Accounting,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
HR Management,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1
Business Analytics,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1
Logistics,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1
Business Taxation,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1
Law,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1
Entrepreneurship,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1
Nutrition,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1
Food Sciences,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1
Communication Skills,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1
Digital Technologies,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
General IT Skills,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1
Architectural Design,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
Designing,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Structures,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0
"Water, Waste & Sanitation",1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0
Site Planning & Landscaping,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Project Management,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1
Estimating & Costing,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
